Colpitti Ck
STN	Date/Time       	PREC_HR_TTL_VAL	PREC_HR_TTL_VAL_QC	PREC_HR_TTL_VAL_Note	PREC_BEST_HR_TTL	PREC_BEST_HR_TTL_QC	PREC_BEST_HR_TTL_Note	TEMP_INST_VAL	TEMP_INST_VAL_QC	TEMP_INST_VAL_Note	SWE_INST_VAL	SWE_INST_VAL_QC	SWE_INST_VAL_Note	
CPI	2020/09/21 13:30	+	+	+	+	+	+	8.3	190	+	-1.0	190	+	
CPI	2020/09/21 13:45	+	+	+	+	+	+	8.5	190	+	-1.0	190	+	
CPI	2020/09/21 14:00	0.1	50	+	0.1	50	+	8.3	190	+	-1.0	190	+	
CPI	2020/09/21 14:15	+	+	+	+	+	+	8.0	190	+	-1.0	190	+	
CPI	2020/09/21 14:30	+	+	+	+	+	+	7.9	190	+	-1.0	190	+	
CPI	2020/09/21 14:45	+	+	+	+	+	+	8.2	190	+	-1.0	190	+	
CPI	2020/09/21 15:00	0.0	50	+	0.0	50	+	8.3	190	+	-1.0	190	+	
CPI	2020/09/21 15:15	+	+	+	+	+	+	8.1	190	+	-1.0	190	+	
CPI	2020/09/21 15:30	+	+	+	+	+	+	7.7	190	+	-1.0	190	+	
CPI	2020/09/21 15:45	+	+	+	+	+	+	7.7	190	+	-1.0	190	+	
CPI	2020/09/21 16:00	0.2	50	+	0.2	50	+	8.0	190	+	-1.0	190	+	
CPI	2020/09/21 16:15	+	+	+	+	+	+	7.7	190	+	-1.0	190	+	
CPI	2020/09/21 16:30	+	+	+	+	+	+	7.4	190	+	0.0	190	+	
CPI	2020/09/21 16:45	+	+	+	+	+	+	7.5	190	+	0.0	190	+	
CPI	2020/09/21 17:00	0.1	50	+	0.1	50	+	7.3	190	+	0.0	190	+	
CPI	2020/09/21 17:15	+	+	+	+	+	+	7.0	190	+	0.0	190	+	
CPI	2020/09/21 17:30	+	+	+	+	+	+	6.5	190	+	0.0	190	+	
CPI	2020/09/21 17:45	+	+	+	+	+	+	6.3	190	+	0.0	190	+	
CPI	2020/09/21 18:00	0.1	50	+	0.1	50	+	5.8	190	+	0.0	190	+	
CPI	2020/09/21 18:15	+	+	+	+	+	+	5.8	190	+	0.0	190	+	
CPI	2020/09/21 18:30	+	+	+	+	+	+	5.7	190	+	-1.0	190	+	
CPI	2020/09/21 18:45	+	+	+	+	+	+	5.5	190	+	-1.0	190	+	
CPI	2020/09/21 19:00	0.2	50	+	0.2	50	+	5.5	190	+	-1.0	190	+	
CPI	2020/09/21 19:15	+	+	+	+	+	+	5.3	190	+	-1.0	190	+	
CPI	2020/09/21 19:30	+	+	+	+	+	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/21 19:45	+	+	+	+	+	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/21 20:00	0.2	50	+	0.2	50	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/21 20:15	+	+	+	+	+	+	4.7	190	+	-1.0	190	+	
CPI	2020/09/21 20:30	+	+	+	+	+	+	4.7	190	+	-1.0	190	+	
CPI	2020/09/21 20:45	+	+	+	+	+	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/21 21:00	0.1	50	+	0.1	50	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/21 21:15	+	+	+	+	+	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/21 21:30	+	+	+	+	+	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/21 21:45	+	+	+	+	+	+	4.7	190	+	-1.0	190	+	
CPI	2020/09/21 22:00	0.1	50	+	0.1	50	+	4.6	190	+	-1.0	190	+	
CPI	2020/09/21 22:15	+	+	+	+	+	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/21 22:30	+	+	+	+	+	+	4.6	190	+	-1.0	190	+	
CPI	2020/09/21 22:45	+	+	+	+	+	+	4.6	190	+	-1.0	190	+	
CPI	2020/09/21 23:00	0.3	50	+	0.3	50	+	4.4	190	+	-1.0	190	+	
CPI	2020/09/21 23:15	+	+	+	+	+	+	4.3	190	+	-1.0	190	+	
CPI	2020/09/21 23:30	+	+	+	+	+	+	4.7	190	+	-1.0	190	+	
CPI	2020/09/21 23:45	+	+	+	+	+	+	4.3	190	+	-1.0	190	+	
CPI	2020/09/22 00:00	0.0	50	+	0.0	50	+	4.3	190	+	-1.0	190	+	
CPI	2020/09/22 00:15	+	+	+	+	+	+	4.2	190	+	-1.0	190	+	
CPI	2020/09/22 00:30	+	+	+	+	+	+	3.7	190	+	-1.0	190	+	
CPI	2020/09/22 00:45	+	+	+	+	+	+	4.1	190	+	-1.0	190	+	
CPI	2020/09/22 01:00	0.0	50	+	0.0	50	+	3.9	190	+	-1.0	190	+	
CPI	2020/09/22 01:15	+	+	+	+	+	+	4.0	190	+	-1.0	190	+	
CPI	2020/09/22 01:30	+	+	+	+	+	+	3.9	190	+	-1.0	190	+	
CPI	2020/09/22 01:45	+	+	+	+	+	+	4.1	190	+	-1.0	190	+	
CPI	2020/09/22 02:00	0.2	50	+	0.2	50	+	4.0	190	+	-1.0	190	+	
CPI	2020/09/22 02:15	+	+	+	+	+	+	4.2	190	+	-1.0	190	+	
CPI	2020/09/22 02:30	+	+	+	+	+	+	4.0	190	+	-1.0	190	+	
CPI	2020/09/22 02:45	+	+	+	+	+	+	4.1	190	+	-1.0	190	+	
CPI	2020/09/22 03:00	0.1	50	+	0.1	50	+	4.0	190	+	-1.0	190	+	
CPI	2020/09/22 03:15	+	+	+	+	+	+	3.9	190	+	-1.0	190	+	
CPI	2020/09/22 03:30	+	+	+	+	+	+	3.9	190	+	-1.0	190	+	
CPI	2020/09/22 03:45	+	+	+	+	+	+	4.4	190	+	-1.0	190	+	
CPI	2020/09/22 04:00	0.0	50	+	0.0	50	+	4.0	190	+	-1.0	190	+	
CPI	2020/09/22 04:15	+	+	+	+	+	+	3.9	190	+	-1.0	190	+	
CPI	2020/09/22 04:30	+	+	+	+	+	+	3.8	190	+	-1.0	190	+	
CPI	2020/09/22 04:45	+	+	+	+	+	+	3.9	190	+	-1.0	190	+	
CPI	2020/09/22 05:00	0.2	50	+	0.2	50	+	3.9	190	+	-1.0	190	+	
CPI	2020/09/22 05:15	+	+	+	+	+	+	3.6	190	+	-1.0	190	+	
CPI	2020/09/22 05:30	+	+	+	+	+	+	3.4	190	+	-1.0	190	+	
CPI	2020/09/22 05:45	+	+	+	+	+	+	3.4	190	+	-1.0	190	+	
CPI	2020/09/22 06:00	0.1	50	+	0.1	50	+	3.4	190	+	-1.0	190	+	
CPI	2020/09/22 06:15	+	+	+	+	+	+	3.3	190	+	-1.0	190	+	
CPI	2020/09/22 06:30	+	+	+	+	+	+	3.6	190	+	-1.0	190	+	
CPI	2020/09/22 06:45	+	+	+	+	+	+	3.8	190	+	-1.0	190	+	
CPI	2020/09/22 07:00	0.2	50	+	0.2	50	+	4.6	190	+	-1.0	190	+	
CPI	2020/09/22 07:15	+	+	+	+	+	+	7.2	190	+	-1.0	190	+	
CPI	2020/09/22 07:30	+	+	+	+	+	+	5.6	190	+	-1.0	190	+	
CPI	2020/09/22 07:45	+	+	+	+	+	+	6.2	190	+	-2.0	190	+	
CPI	2020/09/22 08:00	0.0	50	+	0.0	50	+	6.2	190	+	-1.0	190	+	
CPI	2020/09/22 08:15	+	+	+	+	+	+	7.6	190	+	-2.0	190	+	
CPI	2020/09/22 08:30	+	+	+	+	+	+	8.2	190	+	-1.0	190	+	
CPI	2020/09/22 08:45	+	+	+	+	+	+	7.6	190	+	-1.0	190	+	
CPI	2020/09/22 09:00	0.1	50	+	0.1	50	+	8.1	190	+	-1.0	190	+	
CPI	2020/09/22 09:15	+	+	+	+	+	+	8.1	190	+	-1.0	190	+	
CPI	2020/09/22 09:30	+	+	+	+	+	+	7.7	190	+	-1.0	190	+	
CPI	2020/09/22 09:45	+	+	+	+	+	+	7.7	190	+	-1.0	190	+	
CPI	2020/09/22 10:00	0.1	50	+	0.1	50	+	8.7	190	+	-1.0	190	+	
CPI	2020/09/22 10:15	+	+	+	+	+	+	8.0	190	+	-1.0	190	+	
