Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PK,23-Feb-19,54,4.69,4.36,-9.4,-5.8,-14.3,89.8,78.1,0.7,4.2,0,0.948,-1.1,-12.2,-6.5,-26.4,-0.4,NA,0.8,NA,0.309,0.087,12.21
PK,24-Feb-19,55,10.91,9.71,-10.8,-6,-14.5,86.9,71.1,1.5,7.2,0,0.913,-1,-13.7,-6.1,-25.3,-0.3,NA,0.8,NA,0.278,0.113,12.42
PK,25-Feb-19,56,11.51,10.35,-13.6,-11.4,-17.1,84.7,76.8,3.4,7.4,0,0.888,-0.9,-16.6,-12.2,-30.1,-0.3,NA,0.8,NA,0.196,0.059,12.65
PK,26-Feb-19,57,12.62,10.55,-17.4,-7.6,-25.1,75.6,45.8,1.3,5.1,0,0.866,-1.1,-26.2,-5.9,-37.4,NA,NA,NA,NA,0.158,0.187,12.88
PK,27-Feb-19,58,5.23,4.3,-10.6,-4.9,-22.8,71.5,28,1.3,4.2,0,0.859,-1.2,-14,-6.8,-34.3,NA,NA,NA,NA,0.119,0.306,13.12
PK,28-Feb-19,59,5.99,5.57,-8.1,-4.7,-10.1,87.1,65.9,1.2,4.3,8.47,0.936,-1.3,-9.7,-5.7,-19.5,NA,NA,NA,NA,0.284,0.147,13.35
PK,1-Mar-19,60,8.62,8.01,-8.9,-4,-14.7,82,52.9,1.3,4.2,0,0.919,-1.2,-12.8,-6,-26.1,NA,NA,NA,NA,0.241,0.215,13.59
PK,2-Mar-19,61,9.69,8.64,-15.4,-8.4,-23.4,82.2,58.7,1.5,5.4,0,0.896,-1.2,-23.4,-7,-35.9,NA,NA,NA,NA,0.19,0.134,13.82
PK,3-Mar-19,62,13.27,11.8,-18.5,-7.3,-26.7,70.2,36.4,0.8,4.7,0,0.882,-1.3,-29.6,-11.5,-40.7,NA,NA,NA,NA,0.129,0.225,14.07
PK,4-Mar-19,63,14.27,12.64,-17.3,-5,-28.1,63.8,26.7,0.9,4.8,0,0.877,-1.4,-29.1,-10.5,-42.9,NA,NA,NA,NA,0.113,0.31,14.31
PK,5-Mar-19,64,11.4,9.3,-8.4,-2.4,-21.8,65.4,40.8,2.4,6.3,1.87,0.884,-1.4,-12.8,-2.5,-35.2,NA,NA,NA,NA,0.208,0.302,14.55
PK,6-Mar-19,65,7.54,6.42,-4.4,-1.3,-6.7,86.9,73.2,2.3,5.8,4.4,0.931,-1.5,-5.3,-0.9,-8.2,NA,NA,NA,NA,0.405,0.148,14.8
PK,7-Mar-19,66,9.05,8.42,-6.8,-0.1,-17.6,82.9,44.9,1.5,5.2,7.48,0.978,-1.3,-9.8,-2.5,-30.1,NA,NA,NA,NA,0.273,0.335,15.04
PK,8-Mar-19,67,11.26,10.02,-12.9,1.4,-22.2,75.5,33.7,0.5,3.5,0,0.965,-1.1,-22.5,-1.5,-34.6,NA,NA,NA,NA,0.227,0.447,15.29
